"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","physical_specific","cognitive_specific","se_cov_int","se_cov_slope","se_cov_residual","LL","aic","bic","adj_bic","aaic"
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 8:31 AM",TRUE,"female","ae","muscle",33.059,4.998,1.018,0.314,6.923,0.387,"fluency",4.331,0.413,0.009,0.014,1.933,0.084,3.085,0.007,0.135,0.017,0.882,0.537,594,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_fluency_grip_bostonnaming.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","bostonnaming",1.287,0.049,0.218,-5494.595,11039.19,11148.862,11069.494,11041.4787323944
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 8:23 AM",TRUE,"female","ae","muscle",33.654,4.877,0.962,0.281,6.872,0.391,"fluency",52.973,4.459,0.755,0.164,17.911,0.802,5.411,0.053,-0.795,0.27,0.802,0.248,593,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_fluency_grip_category.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","category",4.901,0.212,0.688,-7587.787,15225.574,15335.204,15255.836,15227.8667689594
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 7:15 AM",TRUE,"female","ae","muscle",34.044,5.104,1.001,0.28,6.889,0.394,"fluency",114.395,9.321,0.29,0.221,28.527,1.235,14.543,0.334,0.656,0.027,0.12,0.434,571,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_fluency_grip_fas.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","fas",6.557,0.215,0.84,-7797.886,15645.772,15754.457,15675.093,15648.1573211009
"b1","0.1",NA,NA,NA,"eas","03/19/2015"," 1:56 PM",TRUE,"female","ae","muscle",32.692,4.829,0.963,0.29,6.93,0.392,"fluid",2634.928,383.896,5.419,10.404,1752.99,48.109,-95.03,-0.163,11.434,0.017,0.9,0.139,580,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_fluid_grip_trailsb.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","trailsb",39.909,1.293,7.72,-11183.73,22417.46,22526.536,22447.171,22419.8065703971
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 7:55 AM",TRUE,"female","ae","muscle",34.628,5.07,1.045,0.31,6.944,0.391,"global",2.324,0.201,0.009,0.004,0.822,0.028,2.616,0.037,-0.007,0.056,0.3,0.972,600,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_global_grip_mmse.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","mmse",1.371,0.036,0.194,-4853.07,9756.14,9866.063,9786.695,9758.40480836237
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 9:29 AM",TRUE,"female","ae","muscle",34.99,5.211,1.454,0.441,6.572,0.405,"knowledge",21.905,2.497,0.252,0.11,8.537,0.388,-0.932,-0.326,0.121,0.829,0.1,0.791,538,7,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_knowledge_grip_information.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","information",4.323,0.198,0.456,-5867.291,11784.582,11891.778,11812.42,11787.1210625
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 7:47 AM",TRUE,"female","ae","muscle",33.437,4.832,0.973,0.297,6.885,0.381,"knowledge",96.264,8.78,0.156,0.263,39.674,1.347,11.811,0.219,-1.18,0.083,0.257,0.358,594,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_knowledge_grip_waisvocab.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","waisvocab",6.809,0.193,1.282,-8181.209,16412.419,16522.091,16442.724,16414.7077323944
"b1","0.1",NA,NA,NA,"eas","03/25/2015"," 9:13 AM",TRUE,"female","ae","muscle",32.959,4.746,0.943,0.268,6.935,0.396,"memory",23.262,3.115,0.145,0.09,15.509,0.723,4.387,0.159,0.353,0.188,0.169,0.581,554,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_memory_grip_logicalmemory.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","logicalmemory",3.328,0.116,0.64,-6882.612,13815.225,13923.154,13843.793,13817.6871212121
"b1","0.1",NA,NA,NA,"eas","03/05/2015","10:42 AM",TRUE,"female","ae","muscle",33.552,4.905,1.101,0.342,6.894,0.386,"reasoning",54.225,4.949,0.293,0.138,21.555,0.888,1.874,0.433,0.174,0.707,0.022,0.858,563,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_reasoning_grip_block.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","block",4.992,0.189,0.971,-7309.247,14668.495,14776.827,14697.464,14670.9158566108
"b1","0.1",NA,NA,NA,"eas","03/19/2015"," 2:10 PM",TRUE,"female","ae","muscle",33.61,4.884,1.076,0.309,6.988,0.386,"speed",144.404,11.178,1.407,0.325,30.694,1.294,13.164,0.701,-0.38,0.063,0.014,0.71,592,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muscle_speed_grip_digitsymbol.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","digitsymbol",7.075,0.286,1.023,-8130.007,16310.014,16419.602,16340.235,16312.310819788
"b1","0.1",NA,NA,NA,"eas","03/19/2015"," 2:48 PM",TRUE,"female","ae","muslce",33.379,4.841,1.126,0.33,6.846,0.389,"memory",9.136,0.743,0.104,0.029,2.68,0.118,-1.593,0.179,0.133,0.448,0.046,0.583,595,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_muslce_memory_grip_digitsymbol.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","grip","digitsymbol",2.098,0.09,0.243,-5905.536,11861.071,11970.785,11891.418,11863.3557100176
"b1","0.1",NA,NA,NA,"eas","03/03/2015"," 2:15 PM",TRUE,"female","ae","pulmonary",5522.432,938.042,153.982,44.738,1626.231,53.106," knowledge",96.712,8.785,0.183,0.268,39.597,1.362,14.552,-1.446,1.867,0.866,0.574,0.91,594,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_ knowledge_pek_waisvocab.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","waisvocab",86.105,2.571,16.494,-9862.978,19775.955,19885.627,19806.26,19778.2437323944
"b1","0.1",NA,NA,NA,"eas","03/02/2015","10:15 AM",TRUE,"female","ae","pulmonary",5443.424,924.256,123.898,35.442,1681.639,50.778,"executive",2698.304,373.618,7.283,9.229,1740.153,47.98,-1302.249,-10.881,NA,0.01,0.498,NA,580,9,NA,24,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_executive_pek_trailsb.out","??",NA,"NA_Heterogeneous Res Covs"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","trailsb",506.463,16.041,NA,-13141.579,26331.159,26435.872,26359.681,26333.3211621622
"b1","0.1",NA,NA,NA,"eas","03/04/2015"," 1:54 PM",TRUE,"female","ae","pulmonary",5410.982,917.582,151.081,42.035,1633.495,54.067,"fluency",4.339,0.417,0.008,0.013,1.934,0.082,41.392,0.034,1.338,0.039,0.953,0.757,594,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_fluency_pek_bostonnaming.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","bostonnaming",20.07,0.577,4.332,-7175.286,14400.573,14510.245,14430.877,14402.8617323944
"b1","0.1",NA,NA,NA,"eas","03/04/2015","12:48 PM",TRUE,"female","ae","pulmonary",5332.291,940.031,116.853,33.796,1690.412,51.763,"fluency",52.968,4.457,0.618,0.134,18.46,0.726,125.967,-0.129,-5.7,0.03,0.955,0.461,593,9,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_fluency_pek_category.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","category",58.095,2.284,7.729,-9482.803,19015.605,19125.235,19045.868,19017.8977689594
"b1","0.1",NA,NA,NA,"eas","03/03/2015","12:46 PM",TRUE,"female","ae","pulmonary",5510.519,933.951,155.645,43.428,1624.885,50.952,"fluency",114.125,9.246,0.294,0.229,28.504,1.251,164.041,1.936,0.133,0.062,0.416,0.993,571,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_fluency_pek_fas.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","fas",87.945,2.381,15.194,-9480.67,19011.34,19120.025,19040.661,19013.7253211009
"b1","0.1",NA,NA,NA,"eas","03/03/2015"," 2:50 PM",TRUE,"female","ae","pulmonary",6466.849,1163.697,249.689,71.797,1554.171,49.101,"global",2.314,0.206,0.007,0.006,0.827,0.03,52.534,0.758,0.281,0.003,0.199,0.921,600,7,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_global_pek_mmse.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","mmse",17.866,0.59,2.832,-6276.238,12602.476,12712.399,12633.031,12604.7408083624
"b1","0.1",NA,NA,NA,"eas","03/05/2015"," 9:15 AM",TRUE,"female","ae","pulmonary",5905.105,1022.049,222.474,61.8,1571.697,53.755,"knowledge",21.485,2.385,0.206,0.092,8.597,0.389,-86.77,-5.111,14.017,0.112,0.027,0.102,543,7,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_knowledge_pek_information.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","information",54.648,2.306,8.569,-7462.062,14974.124,15081.552,15002.193,14976.6385067698
"b1","0.1",NA,NA,NA,"eas","03/03/2015"," 1:10 PM",TRUE,"female","ae","pulmonary",5510.519,933.951,155.645,43.428,1624.885,50.952,"knowledge",114.125,9.246,0.294,0.229,28.504,1.251,164.041,1.936,0.133,0.062,0.416,0.993,571,8,NA,25,NA,"Mplus VERSION 7.3","b1_female_ae_pulmonary_knowledge_pek_waisvocab.out","??",NA,NA," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","pek","waisvocab",87.945,2.381,15.194,-9480.67,19011.34,19120.025,19040.661,19013.7253211009
