"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval"
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:08 PM","b1_female_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_a_muscle_global_grip_mmse.out","nuage","b1","female","a","grip","mmse",939,4,NA,21,-18068.449,36178.898,36280.639,36213.945,36179.9056335878,TRUE,TRUE,NA,0,0.766,0.667,1.149,0.251,0.059,0.099,0.59,0.555,-0.08,0.299,-0.269,0.788,0.083,0.183,0.451,0.652,-0.014,0.188,-0.072,0.943,179.038,10.953,16.346,0,2.822,0.909,3.105,0.002,-2.548,2.061,-1.236,0.216,37.871,2.665,14.213,0,0.723,0.195,3.702,0,0.037,0.073,0.502,0.615,0.141,0.106,1.339,0.181,1.657,0.323,5.128,0,60.954,0.713,85.43,0,-2.052,0.182,-11.276,0,28.801,0.055,519.056,0,-0.077,0.025,-3.023,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902,0.112,-8.079,0,0.011,0.028,0.396,0.692,-0.082,0.011,-7.682,0,-0.015,0.005,-2.921,0.003
"Mplus VERSION 5.1","0.1","03/11/2015","11:59 AM","b1_female_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_aeh_muscle_global_grip_mmms.out","nuage","b1","female","aeh","grip","mmms",934,4,NA,29,-21022.986,42103.972,42244.317,42152.215,42105.8967787611,TRUE,TRUE,NA,0,1.694,1.871,0.906,0.365,0.415,0.279,1.49,0.136,-0.98,0.738,-1.328,0.184,0.591,0.517,1.142,0.253,0.388,0.408,0.951,0.342,178.217,10.933,16.3,0,2.813,0.91,3.091,0.002,-2.526,2.058,-1.227,0.22,37.848,2.67,14.177,0,7.813,0.742,10.527,0,0.764,0.333,2.292,0.022,2.148,0.376,5.712,0,8.543,0.408,20.913,0,60.536,0.987,61.344,0,-1.999,0.265,-7.537,0,93.882,0.257,364.95,0,-0.327,0.12,-2.729,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937,0.113,-8.261,0,0.009,0.028,0.312,0.755,-0.222,0.03,-7.353,0,-0.065,0.014,-4.594,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:09 PM","b1_female_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_aeh_muscle_global_grip_mmse.out","nuage","b1","female","aeh","grip","mmse",934,4,NA,29,-17967.76,35993.519,36133.864,36041.762,35995.4437787611,TRUE,TRUE,NA,0,0.803,0.647,1.241,0.215,0.056,0.099,0.568,0.57,-0.093,0.299,-0.31,0.757,0.105,0.179,0.585,0.558,-0.02,0.187,-0.108,0.914,178.23,10.936,16.297,0,2.809,0.91,3.088,0.002,-2.5,2.06,-1.214,0.225,37.844,2.671,14.171,0,0.65,0.191,3.399,0.001,0.039,0.073,0.54,0.589,0.141,0.104,1.354,0.176,1.644,0.321,5.12,0,60.53,0.987,61.337,0,-1.996,0.265,-7.535,0,28.533,0.084,340.327,0,-0.088,0.044,-1.98,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937,0.113,-8.26,0,0.01,0.028,0.364,0.716,-0.079,0.011,-7.313,0,-0.014,0.005,-2.85,0.004
"Mplus VERSION 5.1","0.1","03/11/2015","12:03 PM","b1_female_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_aehplus_muscle_global_grip_mmms.out","nuage","b1","female","aehplus","grip","mmms",934,4,NA,45,-21009.283,42108.565,42326.342,42183.425,42113.2271621622,TRUE,TRUE,NA,0,1.782,1.87,0.953,0.341,0.39,0.276,1.409,0.159,-0.92,0.726,-1.266,0.205,0.531,0.506,1.051,0.293,0.389,0.408,0.954,0.34,176.163,10.887,16.182,0,2.683,0.881,3.044,0.002,-2.351,2.027,-1.16,0.246,37.867,2.669,14.187,0,7.718,0.734,10.51,0,0.756,0.329,2.297,0.022,2.126,0.371,5.734,0,8.539,0.408,20.908,0,60.568,1.122,53.972,0,-2.184,0.285,-7.67,0,93.786,0.297,316.092,0,-0.421,0.133,-3.161,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939,0.113,-8.309,0,0.017,0.029,0.611,0.541,-0.221,0.031,-7.257,0,-0.065,0.015,-4.441,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","b1_female_aehplus_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_aehplus_muscle_global_grip_mmse.out","nuage","b1","female","aehplus","grip","mmse",934,4,NA,45,-17954.952,35999.905,36217.681,36074.765,36004.5671621622,TRUE,TRUE,NA,0,0.917,0.647,1.417,0.156,0.05,0.099,0.508,0.611,-0.097,0.294,-0.331,0.741,0.093,0.177,0.525,0.599,-0.017,0.187,-0.091,0.927,176.181,10.889,16.179,0,2.68,0.881,3.042,0.002,-2.329,2.028,-1.148,0.251,37.863,2.67,14.18,0,0.645,0.188,3.42,0.001,0.039,0.072,0.537,0.592,0.14,0.104,1.347,0.178,1.643,0.321,5.123,0,60.563,1.122,53.964,0,-2.182,0.285,-7.669,0,28.514,0.097,293.476,0,-0.121,0.051,-2.35,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939,0.113,-8.308,0,0.019,0.029,0.656,0.512,-0.078,0.011,-7.204,0,-0.015,0.005,-2.863,0.004
"Mplus VERSION 5.1","0.1","03/11/2015","11:36 AM","b1_female_age_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_female_age_muscle_global_grip_mmms.out","nuage","b1","female","age","grip","mmms",939,4,NA,21,-21197.084,42436.169,42537.91,42471.215,42437.1766335878,TRUE,TRUE,NA,0,1.654,1.996,0.829,0.407,0.469,0.274,1.71,0.087,-1.047,0.717,-1.459,0.145,0.334,0.556,0.601,0.548,0.321,0.417,0.769,0.442,179.05,10.952,16.348,0,2.822,0.908,3.107,0.002,-2.586,2.057,-1.257,0.209,37.882,2.666,14.212,0,10.133,0.873,11.604,0,0.654,0.314,2.084,0.037,2.279,0.387,5.882,0,8.769,0.427,20.558,0,60.955,0.714,85.412,0,-2.048,0.182,-11.254,0,95.377,0.177,539.043,0,-0.267,0.065,-4.077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902,0.112,-8.075,0,0.01,0.028,0.341,0.733,-0.26,0.032,-8.014,0,-0.065,0.014,-4.6,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","b1_male_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_a_muscle_global_grip_mmse.out","nuage","b1","male","a","grip","mmse",851,4,NA,21,-16665.409,33372.818,33472.493,33405.803,33373.9325958987,TRUE,TRUE,NA,0,3.384,0.797,4.249,0,0.128,0.11,1.159,0.247,0.118,0.443,0.267,0.789,-0.048,0.188,-0.254,0.799,0.015,0.22,0.069,0.945,219.196,14.007,15.649,0,1.892,0.887,2.133,0.033,-2.817,2.332,-1.208,0.227,36.13,2.483,14.549,0,1.009,0.152,6.625,0,0.101,0.041,2.497,0.013,0.242,0.056,4.339,0,1.865,0.094,19.85,0,79.888,0.787,101.494,0,-2.473,0.165,-14.995,0,28.217,0.073,384.859,0,-0.191,0.034,-5.675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.499,0.132,-11.389,0,-0.028,0.028,-1,0.317,-0.063,0.012,-5.038,0,-0.013,0.007,-2.042,0.041
"Mplus VERSION 5.1","0.1","03/11/2015","11:57 AM","b1_male_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_aeh_muscle_global_grip_mmms.out","nuage","b1","male","aeh","grip","mmms",847,4,NA,29,-19414.356,38886.712,39024.221,38932.126,38888.8417429621,TRUE,TRUE,NA,0,5.543,2.048,2.706,0.007,0.336,0.234,1.438,0.15,1.136,1.095,1.038,0.299,0.166,0.511,0.326,0.744,-0.704,0.47,-1.497,0.134,202.81,13.592,14.921,0,1.949,0.894,2.18,0.029,-2.796,2.291,-1.22,0.222,36.056,2.477,14.557,0,8.841,0.998,8.863,0,0.722,0.313,2.303,0.021,2.342,0.368,6.363,0,11.29,0.569,19.845,0,81.106,0.968,83.769,0,-2.505,0.235,-10.649,0,91.57,0.262,349.546,0,-0.691,0.111,-6.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388,0.128,-10.85,0,-0.029,0.028,-1.036,0.3,-0.143,0.034,-4.205,0,-0.046,0.016,-2.901,0.004
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:12 PM","b1_male_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_aeh_muscle_global_grip_mmse.out","nuage","b1","male","aeh","grip","mmse",847,4,NA,29,-16562.378,33182.755,33320.265,33228.17,33184.8847429621,TRUE,TRUE,NA,0,2.31,0.738,3.132,0.002,0.128,0.11,1.161,0.246,0.024,0.43,0.055,0.956,-0.043,0.176,-0.245,0.806,0.02,0.219,0.09,0.928,202.652,13.582,14.921,0,1.897,0.887,2.14,0.032,-2.685,2.277,-1.179,0.238,36.135,2.484,14.549,0,0.782,0.139,5.638,0,0.099,0.04,2.5,0.012,0.211,0.053,3.947,0,1.862,0.094,19.885,0,81.101,0.968,83.79,0,-2.507,0.235,-10.651,0,27.83,0.098,284.81,0,-0.252,0.048,-5.243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388,0.128,-10.848,0,-0.029,0.028,-1.022,0.307,-0.051,0.012,-4.242,0,-0.012,0.007,-1.812,0.07
"Mplus VERSION 5.1","0.1","03/11/2015","12:02 PM","b1_male_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_aehplus_muscle_global_grip_mmms.out","nuage","b1","male","aehplus","grip","mmms",847,4,NA,45,-19406.683,38903.365,39116.742,38973.836,38908.5335393258,TRUE,TRUE,NA,0,5.443,2.039,2.67,0.008,0.324,0.233,1.392,0.164,1.083,1.098,0.986,0.324,0.186,0.507,0.368,0.713,-0.708,0.47,-1.509,0.131,201.521,13.584,14.835,0,1.924,0.892,2.156,0.031,-2.842,2.295,-1.238,0.216,36.053,2.476,14.562,0,8.806,1.001,8.801,0,0.713,0.313,2.282,0.023,2.333,0.367,6.361,0,11.271,0.567,19.89,0,80.727,1.37,58.923,0,-2.36,0.291,-8.108,0,91.208,0.337,270.978,0,-0.537,0.152,-3.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,0.127,-10.959,0,-0.026,0.028,-0.929,0.353,-0.147,0.034,-4.281,0,-0.045,0.016,-2.837,0.005
