study_name,process,subgroup,model_type,coefficient,subject_count,est,pval,se,wald,breed,species
eas,block,female,a,00,563,20.6155,0,0.812,25.382,intercept,0
eas,block,female,a,01,563,-0.1825,0.0325,0.0855,-2.1355,intercept,1
eas,block,female,a,02,563,NA,NA,NA,NA,intercept,2
eas,block,female,a,03,563,NA,NA,NA,NA,intercept,3
eas,block,female,a,04,563,NA,NA,NA,NA,intercept,4
eas,block,female,a,05,563,NA,NA,NA,NA,intercept,5
eas,block,female,a,06,563,NA,NA,NA,NA,intercept,6
eas,block,female,a,10,563,0.6675,0,0.1805,3.702,slope,0
eas,block,female,a,11,563,-0.0265,0.1225,0.017,-1.546,slope,1
eas,block,female,a,12,563,NA,NA,NA,NA,slope,2
eas,block,female,a,13,563,NA,NA,NA,NA,slope,3
eas,block,female,a,14,563,NA,NA,NA,NA,slope,4
eas,block,female,a,15,563,NA,NA,NA,NA,slope,5
eas,block,female,a,16,563,NA,NA,NA,NA,slope,6
eas,block,female,ae,00,563,13.927,0,1.109,12.435,intercept,0
eas,block,female,ae,01,563,-0.164,0.037,0.079,-2.086,intercept,1
eas,block,female,ae,02,563,1.061,0,0.119,8.956,intercept,2
eas,block,female,ae,03,563,NA,NA,NA,NA,intercept,3
eas,block,female,ae,04,563,NA,NA,NA,NA,intercept,4
eas,block,female,ae,05,563,NA,NA,NA,NA,intercept,5
eas,block,female,ae,06,563,NA,NA,NA,NA,intercept,6
eas,block,female,ae,10,563,1.117,0,0.256,4.512,slope,0
eas,block,female,ae,11,563,-0.028,0.11,0.018,-1.598,slope,1
eas,block,female,ae,12,563,-0.077,0.004,0.027,-2.912,slope,2
eas,block,female,ae,13,563,NA,NA,NA,NA,slope,3
eas,block,female,ae,14,563,NA,NA,NA,NA,slope,4
eas,block,female,ae,15,563,NA,NA,NA,NA,slope,5
eas,block,female,ae,16,563,NA,NA,NA,NA,slope,6
eas,block,female,aeh,00,150,18.362,0,2.244,8.182,intercept,0
eas,block,female,aeh,01,150,-0.119,0.461,0.161,-0.737,intercept,1
eas,block,female,aeh,02,150,0.918,0,0.232,3.969,intercept,2
eas,block,female,aeh,03,150,-0.012,0.91,0.115,-0.114,intercept,3
eas,block,female,aeh,04,150,NA,NA,NA,NA,intercept,4
eas,block,female,aeh,05,150,NA,NA,NA,NA,intercept,5
eas,block,female,aeh,06,150,NA,NA,NA,NA,intercept,6
eas,block,female,aeh,10,150,0.768,0.048,0.389,1.978,slope,0
eas,block,female,aeh,11,150,-0.04,0.109,0.025,-1.601,slope,1
eas,block,female,aeh,12,150,-0.069,0.148,0.045,-1.447,slope,2
eas,block,female,aeh,13,150,-0.009,0.621,0.022,-0.495,slope,3
eas,block,female,aeh,14,150,NA,NA,NA,NA,slope,4
