domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,male,aehplus,gait,digit_f,321," .03( .02), $p$=.07 .",0.034,0.019,0.074," .17( .09), $p$=.07 .",0.171,0.094,0.069,"(-.01, .36)",-0.013239999999999974,0.35524," .17( .06, .28)",0.17271125882080174,0.06446111309199844,0.27694409335867914," .00( .00), $p$=.69  "," .30( .78), $p$=.70  ",0.296,0.777,0.703,"(-1.23,1.82)",-1.22692,1.81892," .29( .19, .39)",0.2886751345948129,0.1850541397698687,0.38594770322125405," .00( .01), $p$=.77  ",0.002,0.007,0.772," .01( .04), $p$=.77  ",0.012,0.041,0.772,"(-.07, .09)",-0.06836,0.09236," .01(-.10, .12)",0.01123134775976545,-0.09835846259077338,0.12055201139015012
attention,octo,b1,male,aehplus,gait,digit_f,139,"-.31( .32), $p$=.33  ",-0.31,0.319,0.331,"-.17( .18), $p$=.34  ",-0.175,0.182,0.337,"(-.53, .18)",-0.53172,0.18172,"-.17(-.33,-.01)",-0.17475635937216172,-0.3316083342963884,-0.008502963250568185,"-.01( .01), $p$=.33  ","-.56( .69), $p$=.42  ",-0.555,0.693,0.423,"(-1.91, .80)",-1.9132799999999999,0.8032799999999999,"-.55(-.66,-.43)",-0.5547001962252291,-0.6602240140278227,-0.4277010118793941,"-.10( .13), $p$=.41  ",-0.104,0.126,0.409,"-.06( .07), $p$=.41  ",-0.058,0.069,0.406,"(-.19, .08)",-0.19324,0.07724,"-.06(-.22, .11)",-0.05731290781811179,-0.22169812866417707,0.11023987974722117
attention,hrs,b1,male,aehplus,gait,serial7,318," .05( .02), $p$<.01 **",0.046,0.016,0.004,---,NA,NA,NA,---,NA,NA," .31( .21, .41)",0.3111946420861996,0.20834071755541464,0.4072408786147012," .00( .00), $p$=.01 **",---,NA,NA,NA,---,NA,NA," .48( .39, .56)",0.4803844614152615,0.3910614443317412,0.5607423930588601," .00( .01), $p$=.98  ",0.0,0.011,0.984,---,NA,NA,NA,---,NA,NA," .00(-.11, .11)",0.0,-0.1099847312417276,0.1099847312417276
episodic memory,map,b1,male,aehplus,gait,bstory_de,321," .07( .02), $p$<.01 **",0.07,0.023,0.002," .39( .12), $p$<.01 ***",0.391,0.121,0.001,"( .15, .63)",0.15384000000000003,0.62816," .39( .29, .48)",0.3857642326427409,0.2884775211180644,0.47516719268371577," .00( .00), $p$=.41  "," .67(1.71), $p$=.70  ",0.669,1.713,0.696,"(-2.69,4.03)",-2.68848,4.02648," .52( .43, .59)",0.5163977794943223,0.4313106699921882,0.592379737297817,"-.01( .01), $p$=.14  ",-0.013,0.008,0.135,"-.05( .04), $p$=.13  ",-0.054,0.036,0.131,"(-.12, .02)",-0.12456,0.01656,"-.06(-.16, .05)",-0.055932735823398756,-0.16439504269574567,0.053865960024635284
episodic memory,map,b1,male,aehplus,gait,logic_de,321," .11( .04), $p$=.01 **",0.107,0.041,0.01," .24( .09), $p$=.01 **",0.242,0.093,0.01,"( .06, .42)",0.059719999999999995,0.42428," .24( .14, .34)",0.2432220234921998,0.1374117647750397,0.3435439624443616," .01( .00), $p$=.11  "," .50( .35), $p$=.15  ",0.497,0.35,0.155,"(-.19,1.18)",-0.18899999999999995,1.1829999999999998," .35( .25, .44)",0.34874291623145787,0.24877125073986514,0.4413621364399902,"-.01( .01), $p$=.62  ",-0.007,0.013,0.619,"-.02( .04), $p$=.62  ",-0.02,0.039,0.619,"(-.10, .06)",-0.09644,0.05643999999999999,"-.02(-.13, .09)",-0.020548633788773227,-0.12972570441456735,0.08912071784289716
episodic memory,eas,b1,male,aehplus,gait,logic_tot,218,"20.53(18.13), $p$=.26  ",20.532,18.129,0.257," .21( .19), $p$=.26  ",0.214,0.188,0.257,"(-.15, .58)",-0.15447999999999998,0.58248," .21( .08, .34)",0.2135540888592656,0.08303227845014509,0.33687275994173826," .10( .82), $p$=.90  "," .09( .76), $p$=.90  ",0.094,0.756,0.901,"(-1.39,1.58)",-1.3877599999999999,1.57576," .09(-.04, .22)",0.09346572841830104,-0.039907896489192074,0.22356711543698868,"-.92(3.23), $p$=.78  ",-0.924,3.229,0.775,"-.03( .10), $p$=.77  ",-0.028,0.097,0.774,"(-.22, .16)",-0.21812,0.16212000000000001,"-.03(-.16, .11)",-0.02793286856979168,-0.1602161872943059,0.10533609081405207
episodic memory,octo,b1,male,aehplus,gait,mir,137,"-1.70( .60), $p$<.01 **",-1.695,0.6,0.005,"-.57( .16), $p$<.01 ***",-0.575,0.163,0.0,"(-.89,-.26)",-0.8944799999999999,-0.25551999999999997,"-.58(-.68,-.45)",-0.57530789471622,-0.6776392924957362,-0.45112010341228875,"-.01( .04), $p$=.70  ","-.18( .47), $p$=.70  ",-0.178,0.467,0.703,"(-1.09, .74)",-1.09332,0.73732,"-.17(-.33,-.01)",-0.17264413245941237,-0.3307818017757018,-0.005075609438836085,"-.18( .30), $p$=.54  ",-0.179,0.296,0.544,"-.05( .08), $p$=.54  ",-0.052,0.085,0.543,"(-.22, .11)",-0.2186,0.11460000000000001,"-.05(-.22, .12)",-0.051762670554139946,-0.2175891792913412,0.1169682657013888
episodic memory,octo,b1,male,aehplus,gait,mir_recog,137,"-.58( .63), $p$=.35  ",-0.585,0.633,0.355,"-.35( .29), $p$=.21  ",-0.354,0.286,0.215,"(-.91, .21)",-0.9145599999999999,0.20655999999999997,"-.35(-.49,-.20)",-0.35414879588168163,-0.4926053773967248,-0.19820599879468903,"-.01( .02), $p$=.69  ","-.34( .64), $p$=.59  ",-0.339,0.637,0.594,"(-1.59, .91)",-1.58752,0.9095200000000001,"-.36(-.49,-.20)",-0.3565929832876473,-0.4947210988367349,-0.20089208066430983,"-.31( .18), $p$=.08 .",-0.314,0.177,0.076,"-.11( .06), $p$=.05 .",-0.112,0.058,0.053,"(-.23, .00)",-0.22568,0.001680000000000001,"-.11(-.27, .06)",-0.11158772270303101,-0.2741720828675914,0.057198229322647426
episodic memory,elsa,b1,male,aehplus,gait,word_de,1947," .06( .01), $p$<.01 ***",0.055,0.01,0.0," .23( .04), $p$<.01 ***",0.227,0.041,0.0,"( .15, .31)",0.14664,0.30736," .23( .18, .27)",0.2263546992321976,0.18377906052850967,0.26808262370340624," .00( .00), $p$=.49  ","-.18( .28), $p$=.52  ",-0.181,0.283,0.523,"(-.74, .37)",-0.7356799999999999,0.37367999999999996,---,NaN,NaN,NaN," .01( .00), $p$=.04 *",0.008,0.004,0.044," .04( .02), $p$=.04 *",0.042,0.021,0.043,"( .00, .08)",8.400000000000005e-4,0.08316000000000001," .04(-.00, .09)",0.043476976715068304,-9.484836994740933e-4,0.08773116081527593
episodic memory,hrs,b1,male,aehplus,gait,word_de,318," .01( .02), $p$=.65  ",0.008,0.017,0.653,---,NA,NA,NA,---,NA,NA," .05(-.06, .16)",0.05087704005991147,-0.059440301130851816,0.15996664632633179," .00( .00), $p$=.96  ",---,NA,NA,NA,---,NA,NA," .00(-.11, .11)",0.0,-0.1099847312417276,0.1099847312417276," .00( .01), $p$=.60  ",0.005,0.01,0.6,---,NA,NA,NA,---,NA,NA," .02(-.09, .13)",0.02470408799521695,-0.08551298823341326,0.13432385159653512
