domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,male,aehplus,fev,digit_f,321," .06( .06), $p$=.27  ",0.06,0.055,0.273," .08( .07), $p$=.27  ",0.079,0.072,0.272,"(-.06, .22)",-0.062119999999999995,0.22011999999999998," .08(-.03, .19)",0.07935827596363827,-0.030374475336558134,0.18720089311791352," .00( .00), $p$=.78  "," .26(1.03), $p$=.80  ",0.261,1.026,0.799,"(-1.75,2.27)",-1.7499599999999997,2.27196," .29( .19, .39)",0.2886751345948129,0.1850541397698687,0.38594770322125405,"-.01( .01), $p$=.56  ",-0.007,0.011,0.561,"-.02( .04), $p$=.56  ",-0.025,0.043,0.562,"(-.11, .06)",-0.10927999999999999,0.05927999999999999,"-.03(-.14, .08)",-0.02656895689920777,-0.1356433221153413,0.08314173897039893
attention,octo,b1,male,aehplus,pef,digit_f,138,"-7.21(11.26), $p$=.52  ",-7.211,11.258,0.522,"-.09( .14), $p$=.52  ",-0.088,0.136,0.519,"(-.35, .18)",-0.35456,0.17856000000000002,"-.09(-.25, .08)",-0.08769782447056791,-0.2511225283601369,0.0805880079845574," .36( .19), $p$=.06 ."," .63( .17), $p$<.01 ***",0.626,0.169,0.0,"( .29, .96)",0.29475999999999997,0.9572400000000001," .62( .51, .71)",0.6202538265705504,0.5055477018878108,0.7134150391782708," .45(2.57), $p$=.86  ",0.449,2.567,0.861," .01( .06), $p$=.86  ",0.011,0.061,0.861,"(-.11, .13)",-0.10856,0.13056," .01(-.16, .18)",0.010722522431783616,-0.15666302098008966,0.17750930076910645
attention,satsa,b1,male,aehplus,fev,digit_f,299," .07( .04), $p$=.12  ",0.068,0.044,0.12," .15( .09), $p$=.11  ",0.15,0.094,0.109,"(-.03, .33)",-0.03423999999999999,0.33424," .15( .04, .26)",0.15011366713403831,0.03731878984684617,0.2591316391242343," .00( .00), $p$=.75  "," .20( .61), $p$=.75  ",0.197,0.612,0.747,"(-1.00,1.40)",-1.0025199999999999,1.39652,---,NaN,NaN,NaN," .01( .01), $p$=.36  ",0.013,0.014,0.36," .05( .05), $p$=.36  ",0.048,0.053,0.36,"(-.06, .15)",-0.05588,0.15188000000000001," .14( .02, .24)",0.13515295333622449,0.022060834909980984,0.24482992298819486
attention,hrs,b1,male,aehplus,pef,serial7,3287,"13.68(3.34), $p$<.01 ***",13.679,3.342,0.0," .16( .04), $p$<.01 ***",0.161,0.039,0.0,"( .08, .24)",0.08456000000000001,0.23743999999999998," .16( .13, .19)",0.16122920147032072,0.1277450735032902,0.1943462140450143," .15( .09), $p$=.10 ."," .21( .13), $p$=.10 .",0.213,0.129,0.098,"(-.04, .47)",-0.039840000000000014,0.46584000000000003," .21( .18, .25)",0.21420652255119763,0.18134630760231862,0.24658894271110662,"2.17(1.87), $p$=.25  ",2.172,1.872,0.246," .03( .03), $p$=.24  ",0.033,0.028,0.244,"(-.02, .09)",-0.021879999999999997,0.08788," .03(-.00, .07)",0.03306181773463068,-0.0011277347858719223,0.0671741667982812
episodic memory,map,b1,male,aehplus,fev,bstory_de,321," .08( .07), $p$=.22  ",0.085,0.07,0.224," .13( .10), $p$=.21  ",0.126,0.101,0.211,"(-.07, .32)",-0.07196,0.32396," .13( .02, .23)",0.12616498324120953,0.0169299245026958,0.23242382566089279," .00( .00), $p$=.59  "," .64(2.09), $p$=.76  ",0.644,2.086,0.758,"(-3.44,4.73)",-3.444559999999999,4.732559999999999," .58( .50, .65)",0.5773502691896258,0.49944740778250807,0.6459912811952923,"-.01( .02), $p$=.66  ",-0.007,0.016,0.659,"-.02( .05), $p$=.66  ",-0.02,0.046,0.659,"(-.11, .07)",-0.11016,0.07015999999999999,"-.02(-.13, .09)",-0.01980406036178158,-0.1289932924375719,0.08985962915910636
episodic memory,map,b1,male,aehplus,fev,logic_de,321," .23( .12), $p$=.05 *",0.23,0.117,0.05," .14( .07), $p$=.04 *",0.136,0.068,0.045,"( .00, .27)",0.00272,0.26928," .14( .03, .24)",0.13609605644258754,0.02702987487891667,0.24196014602082078," .00( .01), $p$=.90  "," .05( .44), $p$=.90  ",0.054,0.438,0.901,"(-.80, .91)",-0.80448,0.9124800000000001," .06(-.05, .17)",0.05792844463634923,-0.05186935802473781,0.1663424870017444,"-.01( .02), $p$=.76  ",-0.007,0.023,0.761,"-.01( .04), $p$=.76  ",-0.014,0.044,0.76,"(-.10, .07)",-0.10024,0.07224,"-.01(-.12, .10)",-0.013723063417507755,-0.12300715640192941,0.09588986726751285
episodic memory,eas,b1,male,aehplus,pef,logic_tot,324,"35.38(61.57), $p$=.57  ",35.382,61.572,0.566," .07( .12), $p$=.57  ",0.067,0.116,0.568,"(-.16, .29)",-0.16036,0.29436," .07(-.04, .17)",0.06650838524904737,-0.04276171917408115,0.1742061736248041,"2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ",0.297,0.455,0.514,"(-.59,1.19)",-0.5948,1.1888," .30( .19, .39)",0.2967696942770719,0.19408543857154537,0.3930211467746435,"-7.57(15.76), $p$=.63  ",-7.57,15.763,0.631,"-.03( .07), $p$=.63  ",-0.033,0.068,0.631,"(-.17, .10)",-0.16628,0.10028000000000001,"-.03(-.14, .08)",-0.032764739487773226,-0.1412207938889347,0.07646847719829451
episodic memory,octo,b1,male,aehplus,pef,mir,137,"76.75(20.62), $p$<.01 ***",76.752,20.623,0.0," .58( .12), $p$<.01 ***",0.577,0.117,0.0,"( .35, .81)",0.34768,0.8063199999999999," .58( .45, .68)",0.5766405626799177,0.4527070797519116,0.6787163390906854," .84( .44), $p$=.06 ."," .43( .17), $p$=.01 **",0.43,0.167,0.01,"( .10, .76)",0.10268,0.75732," .43( .28, .56)",0.4296058157019634,0.28222508225184006,0.5571759157208362,"-1.34(6.98), $p$=.85  ",-1.342,6.983,0.848,"-.02( .09), $p$=.85  ",-0.017,0.089,0.848,"(-.19, .16)",-0.19144,0.15743999999999997,"-.02(-.18, .15)",-0.01694314004920013,-0.18413538374499175,0.15120200743071685
episodic memory,octo,b1,male,aehplus,pef,mir_recog,137,"40.64(25.66), $p$=.11  ",40.643,25.663,0.113," .51( .17), $p$<.01 **",0.513,0.168,0.002,"( .18, .84)",0.18372,0.84228," .51( .38, .63)",0.5134979670105076,0.3783681339464936,0.6271981687985888," .22( .58), $p$=.70  "," .28( .60), $p$=.65  ",0.276,0.601,0.646,"(-.90,1.45)",-0.9019599999999999,1.45396," .28( .12, .43)",0.27835001254221303,0.11605226314336348,0.4261703315624208,"2.71(3.72), $p$=.47  ",2.714,3.719,0.466," .04( .06), $p$=.46  ",0.042,0.057,0.459,"(-.07, .15)",-0.06972,0.15372," .04(-.13, .21)",0.04235648844940064,-0.12625590093234254,0.20859018510574548
episodic memory,elsa,b1,male,aehplus,fev,word_de,3091," .04( .03), $p$=.16  ",0.038,0.027,0.162," .06( .04), $p$=.16  ",0.056,0.04,0.162,"(-.02, .13)",-0.022399999999999996,0.1344," .06( .02, .09)",0.05682977273394481,0.021617379176256103,0.09190134717933936," .00( .00), $p$=.54  ","-.22( .39), $p$=.58  ",-0.217,0.392,0.581,"(-.99, .55)",-0.98532,0.55132," .00(-.04, .04)",0.0,-0.03525570557082936,0.03525570557082936," .02( .01), $p$=.27  ",0.016,0.015,0.267," .03( .03), $p$=.27  ",0.028,0.026,0.27,"(-.02, .08)",-0.022959999999999998,0.07896," .03(-.01, .06)",0.028028280788961663,-0.007234573675149516,0.06322151359027256
episodic memory,hrs,b1,male,aehplus,pef,word_de,3288,"30.33(3.72), $p$<.01 ***",30.33,3.718,0.0," .27( .03), $p$<.01 ***",0.271,0.033,0.0,"( .21, .34)",0.20632,0.33568000000000003," .27( .24, .30)",0.27083803647694255,0.23886640240638596,0.30222310923504814," .15( .08), $p$=.07 ."," .70( .54), $p$=.19  ",0.704,0.539,0.191,"(-.35,1.76)",-0.3524400000000001,1.76044," .74( .72, .75)",0.7378814659760634,0.7219070938103941,0.7530698188720515,"1.95(1.80), $p$=.28  ",1.953,1.802,0.278," .03( .02), $p$=.28  ",0.026,0.024,0.279,"(-.02, .07)",-0.02104,0.07304," .03(-.01, .06)",0.026299744854396623,-0.007890426463819843,0.06042849703518149
episodic memory,map,b1,male,aehplus,fev,word_de,321," .08( .07), $p$=.25  ",0.076,0.067,0.254," .10( .08), $p$=.25  ",0.095,0.082,0.247,"(-.07, .26)",-0.06572,0.25572," .09(-.02, .20)",0.09426313538958413,-0.01536428713045341,0.20165120115318408," .00( .00), $p$=.43  "," .69(1.04), $p$=.50  ",0.694,1.036,0.503,"(-1.34,2.72)",-1.33656,2.72456," .57( .49, .64)",0.566946709513841,0.4877490062770461,0.6368883730294592," .00( .01), $p$=.92  ",0.001,0.013,0.918," .00( .05), $p$=.92  ",0.005,0.046,0.918,"(-.09, .10)",-0.08515999999999999,0.09516," .00(-.11, .11)",0.003559801018379976,-0.10595036679456958,0.11298465260594842
