domain,study,physical,cognitive,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
Attention & Working Memory,map,gait,Digit Ordering,Women,935," .02( .01), $p$<.01 **",0.025,0.009,0.004," .00( .00), $p$=.74  ",0.0,0.001,0.744," .00( .00), $p$=.92  ",0.0,0.004,0.925
Attention & Working Memory,map,gait,Digit Ordering,Men,320," .02( .02), $p$=.21  ",0.02,0.016,0.209,"-.00( .00), $p$=.74  ",-0.001,0.002,0.739,"-.00( .01), $p$=.92  ",-0.001,0.006,0.925
Attention & Working Memory,map,gait,Digit Span Backward,Women,935," .06( .01), $p$<.01 ***",0.057,0.012,0.0," .00( .00), $p$=.08 .",0.002,0.001,0.077,"-.00( .00), $p$=.47  ",-0.003,0.004,0.47
Attention & Working Memory,map,gait,Digit Span Backward,Men,321," .06( .02), $p$=.01 **",0.057,0.021,0.007," .00( .00), $p$=.68  ",0.001,0.002,0.681," .00( .01), $p$=.96  ",0.0,0.008,0.959
Attention & Working Memory,octo,gait,Digit Span Backward,Women,276,"-.76( .31), $p$=.01 *",-0.762,0.313,0.015," .01( .04), $p$=.75  ",0.013,0.04,0.752," .11( .21), $p$=.60  ",0.111,0.209,0.596
Attention & Working Memory,octo,gait,Digit Span Backward,Men,139,"-.46( .47), $p$=.33  ",-0.456,0.472,0.334,"-.02( .03), $p$=.45  ",-0.021,0.028,0.45,"-.11( .27), $p$=.69  ",-0.109,0.27,0.688
Attention & Working Memory,map,gait,Digit Span Forward,Women,935," .02( .01), $p$=.06 .",0.023,0.012,0.056," .00( .00), $p$=.76  ",0.0,0.001,0.764," .00( .00), $p$=.28  ",0.005,0.004,0.276
Attention & Working Memory,map,gait,Digit Span Forward,Men,321," .03( .02), $p$=.07 .",0.034,0.019,0.074," .00( .00), $p$=.69  ",0.001,0.002,0.692," .00( .01), $p$=.77  ",0.002,0.007,0.772
Attention & Working Memory,octo,gait,Digit Span Forward,Women,276,"-.28( .22), $p$=.22  ",-0.278,0.225,0.217,"-.01( .01), $p$=.29  ",-0.009,0.009,0.292,"-.10( .10), $p$=.28  ",-0.104,0.097,0.284
Attention & Working Memory,octo,gait,Digit Span Forward,Men,139,"-.31( .32), $p$=.33  ",-0.31,0.319,0.331,"-.01( .01), $p$=.33  ",-0.012,0.012,0.33,"-.10( .13), $p$=.41  ",-0.104,0.126,0.409
Attention & Working Memory,eas,gait,Digit Span Total,Women,363,"12.35(6.17), $p$=.04 *",12.353,6.175,0.045," .62( .35), $p$=.08 .",0.619,0.349,0.076,"-.24( .88), $p$=.79  ",-0.237,0.881,0.788
Attention & Working Memory,eas,gait,Digit Span Total,Men,222,"9.48(9.98), $p$=.34  ",9.479,9.984,0.342," .18( .40), $p$=.66  ",0.177,0.397,0.656,"-.86(1.49), $p$=.56  ",-0.863,1.488,0.562
Attention & Working Memory,hrs,gait,Serial 7s,Women,370," .02( .02), $p$=.20  ",0.022,0.017,0.2," .00( .00), $p$=.60  ",0.0,0.001,0.604," .01( .01), $p$=.18  ",0.013,0.01,0.18
Attention & Working Memory,hrs,gait,Serial 7s,Men,318," .05( .02), $p$<.01 **",0.046,0.016,0.004," .00( .00), $p$=.01 **",0.003,0.001,0.008," .00( .01), $p$=.98  ",0.0,0.011,0.984
Attention & Working Memory,eas,gait,Trials B,Women,362,"-4.86(107.76), $p$=.96  ",-4.863,107.756,0.964,"3.36(6.59), $p$=.61  ",3.359,6.587,0.61,"-4.35(25.36), $p$=.86  ",-4.35,25.362,0.864
Attention & Working Memory,eas,gait,Trials B,Men,221,"-225.90(171.18), $p$=.19  ",-225.903,171.176,0.187,"-7.09(13.23), $p$=.59  ",-7.094,13.231,0.592,"57.56(34.95), $p$=.10 .",57.565,34.952,0.1
Learning & Memory,map,gait,Boston Story Delayed,Women,935," .00( .01), $p$=.80  ",0.003,0.012,0.798," .00( .00), $p$=.64  ",0.001,0.002,0.641," .01( .00), $p$=.11  ",0.008,0.005,0.11
Learning & Memory,map,gait,Boston Story Delayed,Men,321," .07( .02), $p$<.01 **",0.07,0.023,0.002," .00( .00), $p$=.41  ",0.002,0.002,0.412,"-.01( .01), $p$=.14  ",-0.013,0.008,0.135
Learning & Memory,map,gait,Boston Story Immediate,Women,935," .01( .01), $p$=.30  ",0.011,0.01,0.301," .00( .00), $p$=.28  ",0.001,0.001,0.276," .01( .00), $p$=.16  ",0.007,0.005,0.162
Learning & Memory,map,gait,Boston Story Immediate,Men,321," .05( .02), $p$<.01 **",0.052,0.018,0.004," .00( .00), $p$=.23  ",0.003,0.002,0.234,"-.01( .01), $p$=.06 .",-0.015,0.008,0.064
Learning & Memory,map,gait,Logical Memory Delayed,Women,935," .05( .02), $p$=.05 *",0.05,0.025,0.048," .00( .00), $p$=.03 *",0.005,0.002,0.026," .00( .01), $p$=.92  ",0.001,0.007,0.918
Learning & Memory,map,gait,Logical Memory Delayed,Men,321," .11( .04), $p$=.01 **",0.107,0.041,0.01," .01( .00), $p$=.11  ",0.006,0.004,0.11,"-.01( .01), $p$=.62  ",-0.007,0.013,0.619
Learning & Memory,map,gait,Logical Memory Immediate,Women,935," .05( .02), $p$=.04 *",0.049,0.024,0.038," .00( .00), $p$=.02 *",0.005,0.002,0.023," .01( .01), $p$=.07 .",0.014,0.008,0.067
Learning & Memory,map,gait,Logical Memory Immediate,Men,321," .08( .04), $p$=.04 *",0.084,0.042,0.045," .00( .00), $p$=.36  ",0.004,0.004,0.361,"-.01( .01), $p$=.68  ",-0.006,0.015,0.682
Learning & Memory,eas,gait,Logical Memory Total,Women,360,"3.86(11.15), $p$=.73  ",3.856,11.155,0.73," .74( .88), $p$=.40  ",0.737,0.879,0.402," .35(2.31), $p$=.88  ",0.347,2.306,0.881
Learning & Memory,eas,gait,Logical Memory Total,Men,218,"20.53(18.13), $p$=.26  ",20.532,18.129,0.257," .10( .82), $p$=.90  ",0.105,0.825,0.898,"-.92(3.23), $p$=.78  ",-0.924,3.229,0.775
Learning & Memory,octo,gait,Objects Recalled,Women,272,"-1.11( .47), $p$=.02 *",-1.113,0.466,0.017," .00( .05), $p$=.97  ",0.002,0.05,0.972,"-.55( .23), $p$=.02 *",-0.547,0.235,0.02
Learning & Memory,octo,gait,Objects Recalled,Men,137,"-1.70( .60), $p$<.01 **",-1.695,0.6,0.005,"-.01( .04), $p$=.70  ",-0.013,0.035,0.703,"-.18( .30), $p$=.54  ",-0.179,0.296,0.544
Learning & Memory,octo,gait,Objects Recognized,Women,272,"-.15( .17), $p$=.35  ",-0.155,0.167,0.355," .00( .01), $p$=.98  ",0.0,0.011,0.985,"-.03( .09), $p$=.74  ",-0.031,0.093,0.741
Learning & Memory,octo,gait,Objects Recognized,Men,137,"-.58( .63), $p$=.35  ",-0.585,0.633,0.355,"-.01( .02), $p$=.69  ",-0.009,0.022,0.692,"-.31( .18), $p$=.08 .",-0.314,0.177,0.076
Learning & Memory,octo,gait,Prose Immediate,Women,269,"-1.31(1.09), $p$=.23  ",-1.311,1.094,0.231,"-.08( .10), $p$=.44  ",-0.076,0.098,0.439,"-.40( .26), $p$=.13  ",-0.396,0.259,0.126
Learning & Memory,octo,gait,Prose Immediate,Men,139,"-2.36(1.41), $p$=.09 .",-2.362,1.41,0.094,"-.00( .14), $p$=.99  ",-0.002,0.139,0.988," .57( .78), $p$=.47  ",0.569,0.781,0.466
Learning & Memory,elsa,gait,Word List Delayed,Women,2226," .05( .01), $p$<.01 ***",0.05,0.01,0.0," .00( .00), $p$=.38  ",0.0,0.0,0.376,"-.00( .00), $p$=.63  ",-0.002,0.004,0.627
Learning & Memory,elsa,gait,Word List Delayed,Men,1947," .06( .01), $p$<.01 ***",0.055,0.01,0.0," .00( .00), $p$=.49  ",0.0,0.0,0.495," .01( .00), $p$=.04 *",0.008,0.004,0.044
Learning & Memory,hrs,gait,Word List Delayed,Women,370," .03( .02), $p$=.17  ",0.027,0.02,0.166," .00( .00), $p$=.53  ",0.0,0.001,0.53," .01( .01), $p$=.15  ",0.015,0.011,0.149
Learning & Memory,hrs,gait,Word List Delayed,Men,318," .01( .02), $p$=.65  ",0.008,0.017,0.653," .00( .00), $p$=.96  ",0.0,0.001,0.957," .00( .01), $p$=.60  ",0.005,0.01,0.6
Learning & Memory,map,gait,Word List Delayed,Women,935," .05( .01), $p$<.01 ***",0.046,0.013,0.0," .00( .00), $p$<.01 **",0.003,0.001,0.002,"-.00( .00), $p$=.46  ",-0.003,0.004,0.465
Learning & Memory,map,gait,Word List Delayed,Men,321," .06( .02), $p$<.01 **",0.064,0.02,0.002," .00( .00), $p$=.13  ",0.004,0.002,0.129,"-.00( .01), $p$=.65  ",-0.003,0.007,0.649
Learning & Memory,eas,gait,Word List Immediate,Women,363,"11.87(11.82), $p$=.32  ",11.874,11.82,0.315," .29( .82), $p$=.73  ",0.286,0.816,0.726,"1.28(2.26), $p$=.57  ",1.282,2.263,0.571
Learning & Memory,eas,gait,Word List Immediate,Men,222,"11.33(13.26), $p$=.39  ",11.326,13.257,0.393," .09( .88), $p$=.92  ",0.088,0.88,0.92,"2.95(2.69), $p$=.27  ",2.953,2.688,0.272
Learning & Memory,elsa,gait,Word List Immediate,Women,2225," .04( .01), $p$<.01 ***",0.038,0.009,0.0," .00( .00), $p$=.23  ",0.0,0.0,0.228," .01( .00), $p$=.09 .",0.006,0.004,0.094
