process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
attention,map,b1,female,aehplus,grip,digit_f,935,0.018,0.044,0.682,-0.06824,0.10424,0.462,0.33,0.162,-0.18480000000000002,1.1088,0.025,0.028,0.36,-0.029879999999999997,0.07988
attention,octo,b1,female,aehplus,grip,digit_f,276,-0.059,0.089,0.502,-0.23343999999999998,0.11543999999999999,0.125,0.323,0.699,-0.50808,0.75808,0.045,0.049,0.358,-0.05104,0.14104
attention,satsa,b1,female,aehplus,grip,digit_f,409,-0.012,0.1,0.902,-0.20800000000000002,0.184,0.588,0.78,0.451,-0.9408,2.1168,0.025,0.032,0.443,-0.03772,0.08771999999999999
attention,hrs,b1,female,aehplus,grip,serial7,4604,0.028,0.028,0.317,-0.026879999999999998,0.08288,0.453,0.128,0.0,0.20212000000000002,0.7038800000000001,-0.027,0.02,0.18,-0.0662,0.012199999999999999
episodic memory,map,b1,female,aehplus,grip,bstory_de,935,0.029,0.056,0.613,-0.08076,0.13876,0.259,0.26,0.319,-0.25060000000000004,0.7686000000000001,-0.012,0.029,0.677,-0.06884,0.044840000000000005
episodic memory,map,b1,female,aehplus,grip,logic_de,935,0.004,0.043,0.922,-0.08027999999999999,0.08828,0.212,0.197,0.284,-0.17412000000000002,0.59812,0.047,0.029,0.104,-0.009840000000000002,0.10384
episodic memory,eas,b1,female,aehplus,grip,logic_tot,360,-0.088,0.151,0.56,-0.38395999999999997,0.20796,0.131,0.659,0.843,-1.1606400000000001,1.4226400000000001,0.081,0.094,0.387,-0.10323999999999998,0.26524
episodic memory,octo,b1,female,aehplus,grip,mir,273,0.163,0.078,0.036,0.010120000000000018,0.31588,0.631,0.159,0.0,0.31936000000000003,0.9426399999999999,0.044,0.046,0.34,-0.04615999999999999,0.13416
episodic memory,octo,b1,female,aehplus,grip,mir_recog,273,-0.081,0.101,0.422,-0.27896,0.11696,-0.152,0.334,0.65,-0.80664,0.50264,0.166,0.061,0.006,0.04644000000000001,0.28556000000000004
episodic memory,elsa,b1,female,aehplus,grip,word_de,3393,0.128,0.034,0.0,0.06136,0.19464,-0.008,0.663,0.99,-1.30748,1.29148,0.022,0.022,0.313,-0.02112,0.06512
episodic memory,hrs,b1,female,aehplus,grip,word_de,4612,0.093,0.028,0.001,0.03812,0.14788,0.043,0.406,0.916,-0.75276,0.8387600000000001,0.047,0.019,0.012,0.009760000000000005,0.08424
episodic memory,map,b1,female,aehplus,grip,word_de,935,0.168,0.042,0.0,0.08568,0.25032,0.464,0.259,0.074,-0.04363999999999996,0.9716400000000001,0.004,0.027,0.884,-0.048920000000000005,0.05692
episodic memory,map,b1,female,aehplus,grip,word_rec,935,0.149,0.04,0.0,0.0706,0.2274,0.448,1.5,0.765,-2.492,3.388,-0.017,0.025,0.496,-0.066,0.032
executive function,eas,b1,female,aehplus,grip,trailsb,362,-0.105,0.176,0.552,-0.44995999999999997,0.23996,0.816,0.341,0.017,0.14763999999999988,1.4843600000000001,0.146,0.084,0.084,-0.018640000000000018,0.31064
fluency,eas,b1,female,aehplus,grip,categories,363,0.083,0.143,0.562,-0.19727999999999996,0.36328,0.211,0.383,0.582,-0.53968,0.96168,-0.063,0.074,0.397,-0.20804,0.08204
fluency,map,b1,female,aehplus,grip,categories,935,0.093,0.042,0.027,0.010679999999999995,0.17532,0.228,0.192,0.235,-0.14831999999999998,0.60432,0.061,0.028,0.027,0.0061200000000000004,0.11588
fluency,eas,b1,female,aehplus,grip,fas,360,0.217,0.139,0.118,-0.05544000000000002,0.48944,0.141,0.35,0.686,-0.5449999999999999,0.827,0.016,0.089,0.86,-0.15843999999999997,0.19044
fluency,ilse,b1,female,aehplus,grip,fluency,225,0.102,0.11,0.352,-0.11359999999999999,0.3176,0.576,0.724,0.426,-0.8430399999999999,1.99504,0.15,0.081,0.064,-0.008760000000000018,0.30876000000000003
fluid reasoning,satsa,b1,female,aehplus,grip,analogies,409,0.009,0.104,0.93,-0.19483999999999999,0.21284,0.413,0.309,0.182,-0.19263999999999998,1.01864,0.116,0.04,0.003,0.03760000000000001,0.19440000000000002
fluid reasoning,eas,b1,female,aehplus,grip,block,351,0.182,0.152,0.231,-0.11591999999999997,0.47991999999999996,0.553,0.281,0.049,0.0022400000000000198,1.10376,0.025,0.098,0.802,-0.16708,0.21708
fluid reasoning,octo,b1,female,aehplus,grip,block,275,0.302,0.079,0.0,0.14715999999999999,0.45684,0.759,0.273,0.005,0.22392,1.2940800000000001,0.048,0.053,0.367,-0.05588,0.15188000000000001
fluid reasoning,satsa,b1,female,aehplus,grip,block,409,0.223,0.088,0.011,0.05052000000000001,0.39548,0.149,0.357,0.677,-0.55072,0.84872,0.135,0.039,0.0,0.058560000000000015,0.21144000000000002
fluid reasoning,octo,b1,female,aehplus,grip,fig_logic,274,0.295,0.09,0.001,0.11859999999999998,0.4714,0.596,0.286,0.037,0.03544000000000003,1.1565599999999998,0.06,0.051,0.24,-0.039959999999999996,0.15996
fluid reasoning,lasa,b1,female,aehplus,grip,raven_color_ab,782,0.03,0.068,0.659,-0.10328000000000001,0.16328,0.321,1.657,0.847,-2.92672,3.5687200000000003,0.011,0.029,0.699,-0.045840000000000006,0.06784
fluid reasoning,map,b1,female,aehplus,grip,raven_standard,920,0.102,0.054,0.058,-0.00384000000000001,0.20784,0.304,0.271,0.262,-0.22716000000000008,0.8351600000000001,-0.012,0.031,0.692,-0.07276,0.04876
fluid reasoning,satsa,b1,female,aehplus,grip,rotate,409,0.139,0.1,0.168,-0.056999999999999995,0.335,0.314,0.686,0.648,-1.03056,1.65856,0.1,0.04,0.013,0.021600000000000008,0.1784
fluid reasoning,ilse,b1,female,aehplus,grip,spatial_ab,225,0.007,0.1,0.943,-0.189,0.203,0.374,0.786,0.635,-1.16656,1.9145599999999998,-0.008,0.086,0.924,-0.17656,0.16055999999999998
mental status,octo,b1,female,aehplus,grip,clock,276,0.193,0.101,0.057,-0.004959999999999992,0.39096,0.669,0.18,0.0,0.31620000000000004,1.0218,0.065,0.072,0.363,-0.07612,0.20612
mental status,nuage,b1,female,aehplus,grip,mmms,934,0.044,0.05,0.379,-0.054000000000000006,0.14200000000000002,0.277,0.162,0.087,-0.04052,0.59452,0.022,0.023,0.341,-0.023079999999999996,0.06708
mental status,eas,b1,female,aehplus,grip,mmse,363,0.225,0.204,0.271,-0.17483999999999997,0.62484,-0.391,1.058,0.712,-2.46468,1.68268,-0.003,0.103,0.977,-0.20487999999999998,0.19887999999999997
