domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Ordering,935," .06( .02), $p$<.01 ***"," .18( .05), $p$<.01 ***","( .08, .27)"," .18( .11, .24)"," .00( .00), $p$=.69  ","-.20( .57), $p$=.72  ","(-1.33, .92)",---," .00( .00), $p$=.28  "," .03( .03), $p$=.28  ","(-.02, .09)"," .03(-.03, .09)"
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Ordering,321,"-.01( .04), $p$=.74  ","-.02( .08), $p$=.74  ","(-.18, .13)","-.02(-.13, .08)"," .00( .00), $p$=.96  "," .09(1.68), $p$=.96  ","(-3.19,3.37)"," .00(-.11, .11)"," .00( .01), $p$=.95  "," .00( .05), $p$=.95  ","(-.10, .11)"," .00(-.11, .11)"
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Span Backward,935," .06( .02), $p$=.01 **"," .12( .04), $p$=.01 **","( .03, .21)"," .12( .06, .18)"," .00( .00), $p$=.10  "," .68( .53), $p$=.20  ","(-.36,1.73)",---,"-.01( .01), $p$=.18  ","-.04( .03), $p$=.18  ","(-.10, .02)","-.04(-.11, .02)"
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Span Backward,321," .13( .06), $p$=.03 *"," .16( .07), $p$=.03 *","( .02, .31)"," .16( .05, .27)","-.00( .00), $p$=.61  ","-.43( .98), $p$=.66  ","(-2.36,1.50)","-.43(-.51,-.33)","-.00( .01), $p$=.77  ","-.01( .04), $p$=.77  ","(-.09, .07)","-.01(-.12, .10)"
Attention & Working Memory,nas,b1,male,aehplus,fev,Digit Span Backward,1131," .16( .25), $p$=.52  "," .04( .05), $p$=.52  ","(-.07, .14)"," .03(-.02, .09)"," .00( .00), $p$=.22  "," .51( .67), $p$=.45  ","(-.81,1.83)",---," .05( .04), $p$=.26  "," .03( .03), $p$=.26  ","(-.02, .09)"," .03(-.03, .09)"
Attention & Working Memory,octo,b1,female,aehplus,pef,Digit Span Backward,276,"8.67(5.94), $p$=.14  "," .18( .13), $p$=.16  ","(-.07, .44)"," .19( .07, .30)"," .04( .12), $p$=.77  "," .16( .50), $p$=.76  ","(-.82,1.14)"," .14( .03, .26)"," .81(2.51), $p$=.74  "," .02( .05), $p$=.75  ","(-.08, .11)"," .02(-.10, .13)"
Attention & Working Memory,octo,b1,male,aehplus,pef,Digit Span Backward,138,"29.48(12.37), $p$=.02 *"," .31( .13), $p$=.02 *","( .06, .57)"," .31( .15, .46)"," .37( .34), $p$=.28  "," .46( .40), $p$=.25  ","(-.32,1.25)"," .46( .31, .58)","-5.41(4.73), $p$=.25  ","-.10( .08), $p$=.23  ","(-.25, .06)","-.10(-.26, .07)"
Attention & Working Memory,satsa,b1,female,aehplus,fev,Digit Span Backward,409," .08( .03), $p$<.01 ***"," .31( .10), $p$<.01 ***","( .12, .50)"," .31( .22, .39)"," .00( .00), $p$=.17  "," .34( .24), $p$=.17  ","(-.14, .82)",---,"-.01( .01), $p$=.51  ","-.03( .05), $p$=.51  ","(-.13, .07)","-.04(-.13, .06)"
Attention & Working Memory,satsa,b1,male,aehplus,fev,Digit Span Backward,299," .09( .04), $p$=.03 *"," .20( .09), $p$=.03 *","( .02, .38)"," .20( .09, .31)"," .00( .00), $p$=.41  ","-.50( .69), $p$=.47  ","(-1.86, .86)",---,"-.01( .01), $p$=.42  ","-.03( .04), $p$=.42  ","(-.11, .05)","-.07(-.18, .04)"
Attention & Working Memory,nas,b1,male,aehplus,fev,Digit Span Backward Span,1131," .22( .42), $p$=.59  "," .03( .05), $p$=.59  ","(-.07, .13)"," .03(-.03, .09)"," .00( .00), $p$=.74  "," .10( .30), $p$=.73  ","(-.49, .69)"," .12( .06, .18)"," .09( .07), $p$=.19  "," .04( .03), $p$=.19  ","(-.02, .10)"," .04(-.02, .10)"
