process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
attention,map,b1,male,aehplus,fev,digit_f,321,0.079,0.072,0.272,-0.062119999999999995,0.22011999999999998,0.261,1.026,0.799,-1.7499599999999997,2.27196,-0.025,0.043,0.562,-0.10927999999999999,0.05927999999999999
attention,octo,b1,male,aehplus,pef,digit_f,138,-0.088,0.136,0.519,-0.35456,0.17856000000000002,0.626,0.169,0.0,0.29475999999999997,0.9572400000000001,0.011,0.061,0.861,-0.10856,0.13056
attention,satsa,b1,male,aehplus,fev,digit_f,299,0.15,0.094,0.109,-0.03423999999999999,0.33424,0.197,0.612,0.747,-1.0025199999999999,1.39652,0.048,0.053,0.36,-0.05588,0.15188000000000001
attention,hrs,b1,male,aehplus,pef,serial7,3287,0.161,0.039,0.0,0.08456000000000001,0.23743999999999998,0.213,0.129,0.098,-0.039840000000000014,0.46584000000000003,0.033,0.028,0.244,-0.021879999999999997,0.08788
episodic memory,map,b1,male,aehplus,fev,bstory_de,321,0.126,0.101,0.211,-0.07196,0.32396,0.644,2.086,0.758,-3.444559999999999,4.732559999999999,-0.02,0.046,0.659,-0.11016,0.07015999999999999
episodic memory,map,b1,male,aehplus,fev,logic_de,321,0.136,0.068,0.045,0.00272,0.26928,0.054,0.438,0.901,-0.80448,0.9124800000000001,-0.014,0.044,0.76,-0.10024,0.07224
episodic memory,eas,b1,male,aehplus,pef,logic_tot,324,0.067,0.116,0.568,-0.16036,0.29436,0.297,0.455,0.514,-0.5948,1.1888,-0.033,0.068,0.631,-0.16628,0.10028000000000001
episodic memory,octo,b1,male,aehplus,pef,mir,137,0.577,0.117,0.0,0.34768,0.8063199999999999,0.43,0.167,0.01,0.10268,0.75732,-0.017,0.089,0.848,-0.19144,0.15743999999999997
episodic memory,octo,b1,male,aehplus,pef,mir_recog,137,0.513,0.168,0.002,0.18372,0.84228,0.276,0.601,0.646,-0.9019599999999999,1.45396,0.042,0.057,0.459,-0.06972,0.15372
episodic memory,elsa,b1,male,aehplus,fev,word_de,3091,0.056,0.04,0.162,-0.022399999999999996,0.1344,-0.217,0.392,0.581,-0.98532,0.55132,0.028,0.026,0.27,-0.022959999999999998,0.07896
episodic memory,hrs,b1,male,aehplus,pef,word_de,3288,0.271,0.033,0.0,0.20632,0.33568000000000003,0.704,0.539,0.191,-0.3524400000000001,1.76044,0.026,0.024,0.279,-0.02104,0.07304
episodic memory,map,b1,male,aehplus,fev,word_de,321,0.095,0.082,0.247,-0.06572,0.25572,0.694,1.036,0.503,-1.33656,2.72456,0.005,0.046,0.918,-0.08515999999999999,0.09516
episodic memory,nas,b1,male,aehplus,fev,word_de,1131,0.084,0.046,0.071,-0.006159999999999985,0.17415999999999998,-0.033,0.115,0.772,-0.2584,0.19240000000000002,0.021,0.031,0.504,-0.039760000000000004,0.08176
episodic memory,map,b1,male,aehplus,fev,word_rec,321,0.007,0.076,0.931,-0.14195999999999998,0.15596,-0.579,0.435,0.183,-1.4316,0.27360000000000007,0.065,0.048,0.174,-0.029079999999999995,0.15908
executive function,eas,b1,male,aehplus,pef,trailsb,324,-0.421,0.114,0.0,-0.64444,-0.19755999999999999,-0.963,0.552,0.081,-2.04492,0.11892000000000003,0.002,0.075,0.98,-0.145,0.149
fluency,nas,b1,male,aehplus,fev,animals,1131,-0.054,0.048,0.264,-0.14808,0.04008,-0.028,0.175,0.873,-0.371,0.31499999999999995,0.031,0.03,0.296,-0.0278,0.08979999999999999
fluency,eas,b1,male,aehplus,pef,categories,324,0.068,0.109,0.536,-0.14564,0.28164,0.299,0.28,0.286,-0.24980000000000008,0.8478000000000001,0.024,0.064,0.702,-0.10144,0.14944
fluency,map,b1,male,aehplus,fev,categories,321,0.162,0.072,0.024,0.02088000000000001,0.30312,0.172,0.505,0.734,-0.8178000000000001,1.1618,-0.015,0.049,0.764,-0.11104,0.08104
fluency,eas,b1,male,aehplus,pef,fas,324,0.145,0.106,0.171,-0.06276000000000001,0.35275999999999996,-0.423,1.789,0.813,-3.92944,3.08344,0.019,0.073,0.794,-0.12407999999999998,0.16207999999999997
