domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
attention,map,b1,male,aehplus,fev,digit_f,321," .06( .06), $p$=.27  "," .08( .07), $p$=.27  ","(-.06, .22)"," .08(-.03, .19)"," .00( .00), $p$=.78  "," .26(1.03), $p$=.80  ","(-1.75,2.27)"," .29( .19, .39)","-.01( .01), $p$=.56  ","-.02( .04), $p$=.56  ","(-.11, .06)","-.03(-.14, .08)"
attention,octo,b1,male,aehplus,pef,digit_f,138,"-7.21(11.26), $p$=.52  ","-.09( .14), $p$=.52  ","(-.35, .18)","-.09(-.25, .08)"," .36( .19), $p$=.06 ."," .63( .17), $p$<.01 ***","( .29, .96)"," .62( .51, .71)"," .45(2.57), $p$=.86  "," .01( .06), $p$=.86  ","(-.11, .13)"," .01(-.16, .18)"
attention,satsa,b1,male,aehplus,fev,digit_f,299," .07( .04), $p$=.12  "," .15( .09), $p$=.11  ","(-.03, .33)"," .15( .04, .26)"," .00( .00), $p$=.75  "," .20( .61), $p$=.75  ","(-1.00,1.40)",---," .01( .01), $p$=.36  "," .05( .05), $p$=.36  ","(-.06, .15)"," .14( .02, .24)"
attention,hrs,b1,male,aehplus,pef,serial7,3287,"13.68(3.34), $p$<.01 ***"," .16( .04), $p$<.01 ***","( .08, .24)"," .16( .13, .19)"," .15( .09), $p$=.10 ."," .21( .13), $p$=.10 .","(-.04, .47)"," .21( .18, .25)","2.17(1.87), $p$=.25  "," .03( .03), $p$=.24  ","(-.02, .09)"," .03(-.00, .07)"
episodic memory,map,b1,male,aehplus,fev,bstory_de,321," .08( .07), $p$=.22  "," .13( .10), $p$=.21  ","(-.07, .32)"," .13( .02, .23)"," .00( .00), $p$=.59  "," .64(2.09), $p$=.76  ","(-3.44,4.73)"," .58( .50, .65)","-.01( .02), $p$=.66  ","-.02( .05), $p$=.66  ","(-.11, .07)","-.02(-.13, .09)"
episodic memory,map,b1,male,aehplus,fev,logic_de,321," .23( .12), $p$=.05 *"," .14( .07), $p$=.04 *","( .00, .27)"," .14( .03, .24)"," .00( .01), $p$=.90  "," .05( .44), $p$=.90  ","(-.80, .91)"," .06(-.05, .17)","-.01( .02), $p$=.76  ","-.01( .04), $p$=.76  ","(-.10, .07)","-.01(-.12, .10)"
episodic memory,eas,b1,male,aehplus,pef,logic_tot,324,"35.38(61.57), $p$=.57  "," .07( .12), $p$=.57  ","(-.16, .29)"," .07(-.04, .17)","2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ","(-.59,1.19)"," .30( .19, .39)","-7.57(15.76), $p$=.63  ","-.03( .07), $p$=.63  ","(-.17, .10)","-.03(-.14, .08)"
episodic memory,octo,b1,male,aehplus,pef,mir,137,"76.75(20.62), $p$<.01 ***"," .58( .12), $p$<.01 ***","( .35, .81)"," .58( .45, .68)"," .84( .44), $p$=.06 ."," .43( .17), $p$=.01 **","( .10, .76)"," .43( .28, .56)","-1.34(6.98), $p$=.85  ","-.02( .09), $p$=.85  ","(-.19, .16)","-.02(-.18, .15)"
episodic memory,octo,b1,male,aehplus,pef,mir_recog,137,"40.64(25.66), $p$=.11  "," .51( .17), $p$<.01 **","( .18, .84)"," .51( .38, .63)"," .22( .58), $p$=.70  "," .28( .60), $p$=.65  ","(-.90,1.45)"," .28( .12, .43)","2.71(3.72), $p$=.47  "," .04( .06), $p$=.46  ","(-.07, .15)"," .04(-.13, .21)"
episodic memory,elsa,b1,male,aehplus,fev,word_de,3091," .04( .03), $p$=.16  "," .06( .04), $p$=.16  ","(-.02, .13)"," .06( .02, .09)"," .00( .00), $p$=.54  ","-.22( .39), $p$=.58  ","(-.99, .55)"," .00(-.04, .04)"," .02( .01), $p$=.27  "," .03( .03), $p$=.27  ","(-.02, .08)"," .03(-.01, .06)"
