"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","LL","aic","bic","adj_bic","aaic"
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:36 PM",TRUE,"female","age","muscle",28.354,1.671,0.103,0.029,9.836,0.753,"executive",2.818,0.421,0.017,0.008,2.252,0.107,0.264,0.02,NA,0.57,0.002,NA,1581,"to_do",NA,20,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_executive.out","??",NA,"NA _Heterogeneous Res Covs","    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-29170.19,58380.381,58487.697,58424.161,58380.9194615385
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:16 PM",TRUE,"female","age","muscle",28.355,1.673,0.11,0.03,9.822,0.753,"mental",43.008,4.585,1.145,0.223,23.48,1.486,-3.313,0.17,-0.376,0.013,0,0.186,1584,"to_do",NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-43005.58,86053.16,86165.882,86099.169,86053.7515492958
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:33 PM",TRUE,"female","age","muscle",28.352,1.672,0.105,0.03,9.827,0.751,"speed",177.13,7.983,0.705,0.092,34.096,1.928,-11.77,0.106,NA,0,0,NA,1584,"to_do",NA,20,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_speed.out","??",NA,"NA _Heterogeneous Res Covs","    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-39477.605,78995.21,79102.565,79039.029,78995.747428023
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:37 PM",TRUE,"male","age","muscle",53.872,2.494,0.127,0.036,18.691,0.971,"executive",3.372,0.582,0.021,0.012,3.602,0.159,-0.933,0.012,NA,0.237,0.203,NA,1491,"to_do",NA,20,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_executive.out","??",NA,"NA _Heterogeneous Res Covs","    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-29409.829,58859.657,58965.801,58902.267,58860.2284285714
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:24 PM",TRUE,"male","age","muscle",53.923,2.494,0.137,0.037,18.711,0.977,"mental",52.036,5.13,0.903,0.212,24.223,1.425,-4.074,0.215,-0.093,0.024,0,0.83,1491,"to_do",NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-41239.101,82520.203,82631.654,82564.943,82520.8319993193
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 2:32 PM",TRUE,"male","age","muscle",53.801,2.49,0.123,0.035,18.715,0.98,"speed",180.7,8.364,0.452,0.083,33.385,2.463,-12.069,0.08,NA,0,0.002,NA,1490,"to_do",NA,20,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_speed.out","??",NA,"NA _Heterogeneous Res Covs","    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-37670.369,75380.738,75486.868,75423.334,75381.309817563
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:20 PM",TRUE,"female","empty","muscle",24.506,1.115,NA,NA,12.182,0.91,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20472.8,40951.6,40967.696,40958.165,40951.6152284264
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:20 PM",TRUE,"male","empty","muscle",50.696,2.285,NA,NA,25.076,1.077,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-21268.258,42542.516,42558.433,42548.903,42542.5321616162
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:21 PM",TRUE,"female","age","muscle",28.346,1.674,0.103,0.03,9.839,0.753,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20107.382,40230.765,40273.686,40248.272,40230.8566613622
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:22 PM",TRUE,"male","age","muscle",53.856,2.495,0.122,0.035,18.737,0.979,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20645.867,41307.734,41350.181,41324.767,41307.8312972973
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:45 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"executive",2.758,0.199,NA,NA,2.505,0.109,NA,NA,NA,NA,NA,NA,1407,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-9150.481,18306.963,18322.711,18313.181,18306.980106201
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:34 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",67.631,4.257,NA,NA,37.055,2.011,NA,NA,NA,NA,NA,NA,1584,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-23499.704,47005.408,47021.511,47011.981,47005.4231898734
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:53 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.269,6.414,NA,NA,53.295,2.4,NA,NA,NA,NA,NA,NA,1576,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-19816.333,39638.667,39654.755,39645.224,39638.6822671756
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:46 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"executive",2.841,0.19,NA,NA,3.874,0.148,NA,NA,NA,NA,NA,NA,1284,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-8815.431,17636.863,17652.336,17642.807,17636.88175
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:35 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",73.126,5.168,NA,NA,35.472,2.263,NA,NA,NA,NA,NA,NA,1486,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-21031.049,42068.099,42084.01,42074.48,42068.115194332
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:53 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.663,6.159,NA,NA,48.886,2.387,NA,NA,NA,NA,NA,NA,1473,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-17387.131,34780.262,34796.148,34786.617,34780.2783376447
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:48 PM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"executive",2.851,0.424,0.017,0.008,2.25,0.108,NA,NA,NA,NA,NA,NA,1407,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-9073.166,18162.333,18204.326,18178.913,18162.4360042918
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:36 PM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",43.032,4.596,1.133,0.223,23.504,1.494,NA,NA,NA,NA,NA,NA,1584,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-22925.568,45867.137,45910.078,45884.664,45867.2284285714
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:54 PM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"speed",177.204,7.984,0.693,0.091,34.183,1.934,NA,NA,NA,NA,NA,NA,1576,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-19406.607,38829.214,38872.116,38846.701,38829.3058953414
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:48 PM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"executive",3.375,0.585,0.02,0.012,3.615,0.16,NA,NA,NA,NA,NA,NA,1284,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-8780.832,17577.665,17618.926,17593.514,17577.7779411765
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:37 PM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",51.995,5.122,0.899,0.212,24.239,1.43,NA,NA,NA,NA,NA,NA,1486,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20623.172,41262.344,41304.775,41279.361,41262.4414949221
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:54 PM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"speed",180.827,8.372,0.446,0.084,33.47,2.471,NA,NA,NA,NA,NA,NA,1473,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-17060.073,34136.147,34178.507,34153.094,34136.2453606557
"b1","0.1",NA,NA,NA,"habc","02/23/2015"," 3:25 PM",TRUE,"female","age","walking",0.034,0.002,0,0,0.014,0,"executive",2.815,0.421,0.017,0.008,2.251,0.107,0.072,0.001,NA,0,0.001,NA,1558,"to_do",NA,20,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_walking_executive.out","??",NA,"NA _Heterogeneous Res Covs","    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-4919.831,9879.662,9986.685,9923.15,9880.20851919323
