"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.11","0.1","04/13/2015"," 1:19 PM","ilse","u0","female","empty","nophys","fluency","nophysspec","verbalfluencytest",TRUE,240,3,NA,3,-2080.764,4167.527,4177.969,4168.46,4167.62869491525,"u0_female_empty_nophys_fluency_nophysspec_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.285,2.218,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.285","2.218",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","06/17/2015","10:52 AM","ilse","u0","female","empty","nophys","fluency","nophysspec","waisgeneralknowledge",TRUE,240,3,NA,3,-1558.107,3122.214,3132.656,3123.147,3122.31569491525,"u0_female_empty_nophys_fluency_nophysspec_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.388,0.308,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.388","0.308",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","04/13/2015"," 1:44 PM","ilse","u0","female","empty","nophys","reasoning","nophysspec","lpsspatialability",TRUE,240,3,NA,3,-1893.439,3792.877,3803.319,3793.81,3792.97869491525,"u0_female_empty_nophys_reasoning_nophysspec_lpsspatialability.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.701,1.304,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.701","1.304",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015","11:05 AM","ilse","u0","female","empty","nophys","reasoning","nophysspec","waisblockdesign",TRUE,240,3,NA,3,-2016.616,4039.232,4049.674,4040.165,4039.33369491525,"u0_female_empty_nophys_reasoning_nophysspec_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.211,1.618,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.211","1.618",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","04/13/2015","11:40 AM","ilse","u0","female","empty","nophys","reasoning","nophysspec","waispicturecompletion",TRUE,240,3,NA,3,-1628.64,3263.28,3273.722,3264.213,3263.38169491525,"u0_female_empty_nophys_reasoning_nophysspec_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.053,0.664,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.053","0.664",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015"," 1:38 PM","ilse","u0","female","empty","nophys","speed","nophysspec","digitsymbolsubstitutiontest",TRUE,240,3,NA,3,-2112.93,4231.861,4242.303,4232.794,4231.96269491525,"u0_female_empty_nophys_speed_nophysspec_digitsymbolsubstitutiontest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.563,1.948,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.563","1.948",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","04/13/2015"," 1:20 PM","ilse","u0","male","empty","nophys","fluency","nophysspec","verbalfluencytest",TRUE,259,3,NA,3,-2202.61,4411.22,4421.89,4412.379,4411.31411764706,"u0_male_empty_nophys_fluency_nophysspec_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.679,1.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.679","1.913",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","06/17/2015","10:53 AM","ilse","u0","male","empty","nophys","fluency","nophysspec","waisgeneralknowledge",TRUE,260,3,NA,3,-1609.046,3224.091,3234.773,3225.262,3224.18475,"u0_male_empty_nophys_fluency_nophysspec_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.055,0.317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.055","0.317",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","04/13/2015"," 1:44 PM","ilse","u0","male","empty","nophys","reasoning","nophysspec","lpsspacialability",TRUE,260,3,NA,3,-1976.512,3959.023,3969.705,3960.194,3959.11675,"u0_male_empty_nophys_reasoning_nophysspec_lpsspacialability.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.404,1.617,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.404","1.617",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015","11:06 AM","ilse","u0","male","empty","nophys","reasoning","nophysspec","waisblockdesign",TRUE,259,3,NA,3,-2182.139,4370.278,4380.949,4371.438,4370.37211764706,"u0_male_empty_nophys_reasoning_nophysspec_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.254,1.93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.254","1.93",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
